movie_name,genre,abstract,director,hero,imdb_rating(out of 10),votes,runtime(in mins),language,budget(in Cr),collections(in Cr),verdict
Jawan,"Action, Thriller",A high-octane action thriller which outlines the emotional journey of a man who is set to rectify the wrongs in the society.,Atlee,Shah Rukh Khan,7.1,74133,169,Hindi,300,1152,All Time Blockbuster
Pathaan,"Action, Adventure, Thriller","An Indian agent races against a doomsday clock as a ruthless mercenary, with a bitter vendetta, mounts an apocalyptic attack against the country.",Siddharth Anand,Shah Rukh Khan,5.9,149165,146,Hindi,250,1050.8,All Time Blockbuster
Gadar 2,"Action, Adventure, Drama","When Tara Singh goes missing during a skirmish and is believed to be captured in Pakistan, his son Jeete sets out to rescue him and enters a labyrinth from which they both must escape at all costs.",Anil Sharma,Sunny Deol,5.3,20804,170,Hindi,85,687.8,All Time Blockbuster
Leo,"Action, Crime, Drama","Parthiban is a mild-mannered cafe owner in Kashmir, who fends off a gang of murderous thugs and gains attention from a drug cartel claiming he was once a part of them.",Lokesh Kanagaraj,Joseph Vijay,7.7,41562,164,Tamil,225,611.2,Still Running
Jailer,"Action, Comedy, Crime","A retired jailer goes on a manhunt to find his son's killers. But the road leads him to a familiar, albeit a bit darker place. Can he emerge from this complex situation successfully?",Nelson Dilipkumar,Rajinikanth,7.1,28470,168,Tamil,180,605.8,All Time Blockbuster
Adipurush,"Action, Adventure, Drama",A modern adaptation of the Indian epic Ramayana which follows the exiled prince Raghav's journey to rescue his wife Janaki from the raakshash king Lankesh.,Om Raut,Kriti Sanon,3.5,130840,179,"Telugu, Hindi",400,395,Flop
Rocky Aur Rani Kii Prem Kahaani,"Comedy, Drama, Family","Flamboyant Punjabi Rocky and intellectual Bengali journalist Rani fall in love despite their differences. After facing family opposition, they decide to live with each other's families for three months before getting married.",Karan Johar,Ranveer Singh,6.7,38632,168,Hindi,150,357,Hit
Ponniyin Selvan: Part Two,"Action, Adventure, Drama","Arulmozhi Varman continues on his journey to become Rajaraja I, the greatest ruler of the historic Chola empire of south India.",Mani Ratnam,Vikram,7.3,17153,164,Tamil,250,344,Hit
Tiger 3,"Action, Adventure, Thriller",Tiger and Zoya are back - to save the country and their family. This time it's personal.,Maneesh Sharma,Salman Khan,7.9,37304,154,Hindi,300,324.8,Still Running
Varisu,"Action, Drama","Vijay Rajendran is a happy to-go lucky man. Things change when his father becomes terminally ill, and he is left to manage his business empire.",Vamshi Paidipally,Joseph Vijay,6,36759,169,Tamil,180,303,Super Hit
